"Election_Type","State_Name","Assembly_No","Constituency_No","Year","month","Poll_No","DelimID","Position","Candidate","Sex","Party","Votes","Candidate_Type","Valid_Votes","Electors","Constituency_Name","Constituency_Type","Sub_Region","N_Cand","Turnout_Percentage","Vote_Share_Percentage","Deposit_Lost","Margin","Margin_Percentage","ENOP","pid","Party_Type_TCPD","Party_ID","last_poll","Contested","Last_Party","Last_Party_ID","Last_Constituency_Name","Same_Constituency","Same_Party","No_Terms","Turncoat","Incumbent","Recontest","Age","District_Name"
"GE","Delhi","16","1","2014","4","0","4","1","Dr. Harsh Vardhan","M","BJP","437938","GEN","981863","1447230","CHANDNI CHOWK","GEN","","25","67.84","44.60","no","136320","13.88","3.12","GEDL15277","","1605","TRUE","1","","","","","","1","FALSE","FALSE","FALSE","",""
"GE","Delhi","16","1","2014","4","0","4","2","Ashutosh","M","AAAP","301618","GEN","981863","1447230","CHANDNI CHOWK","GEN","","25","67.84","30.72","no","125412","12.77","3.12","GEDL15269","","13","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","",""
"GE","Delhi","16","1","2014","4","0","4","3","Kapil Sibal","M","INC","176206","GEN","981863","1447230","CHANDNI CHOWK","GEN","","25","67.84","17.95","no","147601","15.03","3.12","GEDL74460","","3482","TRUE","4","INC","3482","CHANDNI CHOWK","TRUE","TRUE","2","FALSE","TRUE","TRUE","",""
"GE","Delhi","16","1","2014","4","0","4","4","Dildar Hussain Beg","M","IND","28605","GEN","981863","1447230","CHANDNI CHOWK","GEN","","25","67.84","2.91","yes","20859","2.12","3.12","GEDL15273","","10809","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","",""
"GE","Delhi","16","1","2014","4","0","4","5","Narendra Kumar Pandey","M","BSP","7746","GEN","981863","1447230","CHANDNI CHOWK","GEN","","25","67.84","0.79","yes","3212","0.33","3.12","GEDL15271","","16651","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","",""
"GE","Delhi","16","1","2014","4","0","4","6","None of the above","NOT","NOTA","4534","NULL","981863","1447230","CHANDNI CHOWK","GEN","","25","67.84","0.46","yes","29","0.00","3.12","","","5897","TRUE","","","","","","","","","FALSE","FALSE","",""
"GE","Delhi","16","1","2014","4","0","4","7","Ashutosh","M","IND","4505","GEN","981863","1447230","CHANDNI CHOWK","GEN","","25","67.84","0.46","yes","974","0.10","3.12","GEDL15272","","10809","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","",""
"GE","Delhi","16","1","2014","4","0","4","8","Hariom Sharma","M","AITC","3531","GEN","981863","1447230","CHANDNI CHOWK","GEN","","25","67.84","0.36","yes","141","0.01","3.12","GEDL15278","","18228","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","",""
"GE","Delhi","16","1","2014","4","0","4","9","Sanjay Gandhi","M","BRAVP","3390","GEN","981863","1447230","CHANDNI CHOWK","GEN","","25","67.84","0.35","yes","1561","0.16","3.12","GEDL15259","","2104","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","",""
"GE","Delhi","16","1","2014","4","0","4","10","Vijay Shanker Chaubey","M","IND","1829","GEN","981863","1447230","CHANDNI CHOWK","GEN","","25","67.84","0.19","yes","64","0.01","3.12","GEDL15256","","10809","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","",""
"GE","Delhi","16","1","2014","4","0","4","11","Abdul Amir Amiro","M","IND","1765","GEN","981863","1447230","CHANDNI CHOWK","GEN","","25","67.84","0.18","yes","122","0.01","3.12","GEDL15266","","10809","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","",""
"GE","Delhi","16","1","2014","4","0","4","12","Ajay Kumar Khemka","M","kajp","1643","GEN","981863","1447230","CHANDNI CHOWK","GEN","","25","67.84","0.17","yes","90","0.01","3.12","GEDL15267","","4746","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","",""
"GE","Delhi","16","1","2014","4","0","4","13","Jagmohan Singh Bakshi","M","ATBP","1553","GEN","981863","1447230","CHANDNI CHOWK","GEN","","25","67.84","0.16","yes","130","0.01","3.12","GEDL15265","","992","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","",""
"GE","Delhi","16","1","2014","4","0","4","14","Gagan Rastogi","M","IND","1423","GEN","981863","1447230","CHANDNI CHOWK","GEN","","25","67.84","0.14","yes","542","0.06","3.12","GEDL15261","","10809","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","",""
"GE","Delhi","16","1","2014","4","0","4","15","Bir Singh Soni","M","IND","881","SC","981863","1447230","CHANDNI CHOWK","GEN","","25","67.84","0.09","yes","92","0.01","3.12","GEDL15264","","10809","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","",""
"GE","Delhi","16","1","2014","4","0","4","16","Surender Singh","M","IND","789","GEN","981863","1447230","CHANDNI CHOWK","GEN","","25","67.84","0.08","yes","187","0.02","3.12","GEDL15262","","10809","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","",""
"GE","Delhi","16","1","2014","4","0","4","17","Balram Bari","M","IND","602","GEN","981863","1447230","CHANDNI CHOWK","GEN","","25","67.84","0.06","yes","10","0.00","3.12","GEDL43469","","10809","TRUE","4","IND","10809","CHANDNI CHOWK","TRUE","TRUE","0","FALSE","FALSE","TRUE","",""
"GE","Delhi","16","1","2014","4","0","4","18","Musarrat Jahan","F","RJ","592","GEN","981863","1447230","CHANDNI CHOWK","GEN","","25","67.84","0.06","yes","54","0.01","3.12","GEDL15255","","6575","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","",""
"GE","Delhi","16","1","2014","4","0","4","19","Rashmi Kashyap","F","BPC","538","GEN","981863","1447230","CHANDNI CHOWK","GEN","","25","67.84","0.05","yes","0","0.00","3.12","GEDL15260","","2013","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","",""
"GE","Delhi","16","1","2014","4","0","4","20","Mohd. Mursaleen","M","PECP","538","GEN","981863","1447230","CHANDNI CHOWK","GEN","","25","67.84","0.05","yes","230","0.02","3.12","GEDL15253","","5995","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","",""
"GE","Delhi","16","1","2014","4","0","4","21","Dhan Raj Chauhan","M","NADP","308","SC","981863","1447230","CHANDNI CHOWK","GEN","","25","67.84","0.03","yes","18","0.00","3.12","GEDL15254","","5848","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","",""
"GE","Delhi","16","1","2014","4","0","4","22","Jagjeet Singh","M","BGTD","290","GEN","981863","1447230","CHANDNI CHOWK","GEN","","25","67.84","0.03","yes","18","0.00","3.12","GEDL15258","","9056","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","",""
"GE","Delhi","16","1","2014","4","0","4","23","Altaf Husain","M","bjdi","272","GEN","981863","1447230","CHANDNI CHOWK","GEN","","25","67.84","0.03","yes","9","0.00","3.12","GEDL15276","","1940","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","",""
"GE","Delhi","16","1","2014","4","0","4","24","Dr. Tarun Kumar","M","VSP","263","GEN","981863","1447230","CHANDNI CHOWK","GEN","","25","67.84","0.03","yes","10","0.00","3.12","GEDL15270","","8508","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","",""
"GE","Delhi","16","1","2014","4","0","4","25","Tariq Mirza","M","RPI(A)","253","GEN","981863","1447230","CHANDNI CHOWK","GEN","","25","67.84","0.03","yes","2","0.00","3.12","GEDL15274","","12285","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","",""
"GE","Delhi","16","1","2014","4","0","4","26","Md. Afaq","M","JMBP","251","GEN","981863","1447230","CHANDNI CHOWK","GEN","","25","67.84","0.03","yes","0","0.00","3.12","GEDL15257","","4036","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","",""
"GE","Delhi","16","2","2014","4","0","4","1","Manoj Tiwari","M","BJP","596125","GEN","1317338","1957708","NORTH EAST DELHI","GEN","","23","67.29","45.25","no","144084","10.94","2.86","GEDL15283","","1605","TRUE","1","","","","","","1","FALSE","FALSE","FALSE","",""
"GE","Delhi","16","2","2014","4","0","4","2","Anand Kumar","M","AAAP","452041","GEN","1317338","1957708","NORTH EAST DELHI","GEN","","23","67.29","34.31","no","237249","18.01","2.86","GEDL15280","","13","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","",""
"GE","Delhi","16","2","2014","4","0","4","3","Jai Parkash Agarwal","M","INC","214792","GEN","1317338","1957708","NORTH EAST DELHI","GEN","","23","67.29","16.31","yes","186657","14.17","2.86","GEDL30545","","3482","TRUE","7","INC","3482","NORTH EAST DELHI","TRUE","TRUE","4","FALSE","TRUE","TRUE","",""
"GE","Delhi","16","2","2014","4","0","4","4","Abdul Sami Salmani","M","BSP","28135","GEN","1317338","1957708","NORTH EAST DELHI","GEN","","23","67.29","2.14","yes","24311","1.85","2.86","GEDL15296","","16651","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","",""
"GE","Delhi","16","2","2014","4","0","4","5","None of the above","NOT","NOTA","3824","NULL","1317338","1957708","NORTH EAST DELHI","GEN","","23","67.29","0.29","yes","633","0.05","2.86","","","5897","TRUE","","","","","","","","","FALSE","FALSE","",""
"GE","Delhi","16","2","2014","4","0","4","6","A.k. Aggarwal","M","AGRJP","3191","GEN","1317338","1957708","NORTH EAST DELHI","GEN","","23","67.29","0.24","yes","772","0.06","2.86","GEDL15279","","98","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","",""
"GE","Delhi","16","2","2014","4","0","4","7","H.k. Mahendru","M","IND","2419","GEN","1317338","1957708","NORTH EAST DELHI","GEN","","23","67.29","0.18","yes","498","0.04","2.86","GEDL15294","","10809","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","",""
"GE","Delhi","16","2","2014","4","0","4","8","Dan Bahadur Yadav","M","IND","1921","GEN","1317338","1957708","NORTH EAST DELHI","GEN","","23","67.29","0.15","yes","29","0.00","2.86","GEDL77846","","10809","TRUE","4","IND","10809","AZAMGARH","FALSE","TRUE","0","FALSE","FALSE","TRUE","",""
